yearID,teamID,W,R,H,SO,BB,SF,ERA,attendance
2011,ARI,94,731,1357,1249,531,33,3.8,2105432
2011,ATL,89,641,1345,1260,504,30,3.48,2372940
2011,BAL,69,708,1434,1120,452,43,4.89,1755461
2011,BOS,90,875,1600,1108,578,50,4.2,3054001
2011,CHA,79,654,1387,989,475,46,4.1,2001117
2011,CHN,71,654,1423,1202,425,35,4.33,3017966
2011,CIN,79,735,1438,1250,535,40,4.16,2213588
2011,CLE,80,704,1380,1269,494,43,4.23,1840835
2011,COL,73,735,1429,1201,555,44,4.43,2909777
2011,DET,95,787,1540,1143,521,58,4.04,2642045
2011,FLO,72,625,1358,1244,542,42,3.95,1477462
2011,HOU,56,615,1442,1164,401,37,4.51,2067016
2011,KCA,71,730,1560,1006,442,57,4.44,1724450
2011,LAA,86,667,1394,1086,442,32,3.57,3166321
2011,LAN,82,644,1395,1087,498,43,3.54,2935139
2011,MIL,96,721,1422,1083,481,44,3.63,3071373
2011,MIN,63,619,1357,1048,440,25,4.58,3168116
2011,NYA,97,867,1452,1138,627,51,3.73,3653680
2011,NYN,77,718,1477,1085,571,48,4.19,2352596
2011,OAK,74,645,1330,1094,509,57,3.71,1476791
2011,PHI,102,713,1409,1024,539,38,3.02,3680718
2011,PIT,72,610,1325,1308,489,44,4.04,1940429
2011,SDN,71,593,1284,1320,501,47,3.42,2143018
2011,SEA,67,556,1263,1280,435,41,3.9,1939421
2011,SFN,86,570,1327,1122,448,43,3.2,3387303
2011,SLN,90,762,1513,978,542,40,3.74,3093954
2011,TBA,91,707,1324,1193,571,35,3.58,1529188
2011,TEX,96,855,1599,930,475,49,3.79,2946949
2011,TOR,81,743,1384,1184,525,47,4.32,1818103
2011,WAS,80,624,1319,1323,470,32,3.58,1940478
2012,ARI,81,734,1416,1266,539,45,3.93,2177617
2012,ATL,94,700,1341,1289,567,46,3.42,2420171
2012,BAL,93,712,1375,1315,480,30,3.9,2102240
2012,BOS,69,734,1459,1197,428,55,4.7,3043003
2012,CHA,85,748,1409,1203,461,36,4.02,1965955
2012,CHN,61,613,1297,1235,447,24,4.51,2882756
2012,CIN,97,669,1377,1266,481,37,3.34,2347251
2012,CLE,68,667,1385,1087,555,39,4.78,1603596
2012,COL,64,758,1526,1213,450,39,5.22,2630458
2012,DET,88,726,1467,1103,511,39,3.75,3028033
2012,HOU,55,583,1276,1365,463,30,4.56,1607733
2012,KCA,72,676,1492,1032,404,41,4.3,1739859
2012,LAA,89,767,1518,1113,449,41,4.02,3061770
2012,LAN,86,637,1369,1156,481,38,3.34,3324246
2012,MIA,69,609,1327,1228,484,40,4.09,2219444
2012,MIL,83,776,1442,1240,466,35,4.22,2831385
2012,MIN,66,701,1448,1069,505,56,4.77,2776354
2012,NYA,95,804,1462,1176,565,49,3.84,3542406
2012,NYN,74,650,1357,1250,503,30,4.09,2242803
2012,OAK,94,713,1315,1387,550,34,3.48,1679013
2012,PHI,81,684,1414,1094,454,39,3.83,3565718
2012,PIT,79,651,1313,1354,444,45,3.86,2091918
2012,SDN,76,651,1339,1238,539,34,4.01,2123721
2012,SEA,75,619,1285,1259,466,35,3.76,1721920
2012,SFN,94,718,1495,1097,483,61,3.68,3377371
2012,SLN,88,765,1526,1192,533,49,3.71,3262109
2012,TBA,90,697,1293,1323,571,42,3.19,1559681
2012,TEX,93,808,1526,1103,478,53,3.99,3460280
2012,TOR,73,716,1346,1251,473,45,4.64,2099663
2012,WAS,98,731,1468,1325,479,36,3.33,2370794
2013,ARI,81,685,1468,1142,519,43,3.92,2134795
2013,ATL,96,688,1354,1384,542,35,3.18,2548679
2013,BAL,85,745,1460,1125,416,45,4.2,2357561
2013,BOS,97,853,1566,1308,581,50,3.79,2833333
2013,CHA,63,598,1385,1207,411,48,3.98,1768413
2013,CHN,66,602,1307,1230,439,30,4,2642682
2013,CIN,90,698,1370,1245,585,46,3.38,2534369
2013,CLE,92,745,1391,1283,562,56,3.82,1572926
2013,COL,74,706,1511,1204,427,35,4.44,2793828
2013,DET,93,796,1625,1073,531,47,3.61,3083397
2013,HOU,51,610,1307,1535,426,38,4.79,1651883
2013,KCA,86,648,1443,1048,422,42,3.45,1750754
2013,LAA,78,733,1476,1221,523,64,4.23,3019505
2013,LAN,92,649,1447,1146,476,48,3.25,3743527
2013,MIA,62,513,1257,1232,432,26,3.71,1586322
2013,MIL,74,640,1381,1183,407,35,3.84,2531105
2013,MIN,66,614,1346,1430,533,32,4.55,2477644
2013,NYA,85,650,1321,1214,466,36,3.94,3279589
2013,NYN,74,619,1318,1384,512,32,3.77,2135657
2013,OAK,96,767,1403,1178,573,49,3.56,1809302
2013,PHI,73,610,1355,1205,417,31,4.32,3012403
2013,PIT,94,634,1346,1330,469,29,3.26,2256862
2013,SDN,76,618,1349,1309,467,34,3.98,2166691
2013,SEA,71,624,1318,1353,529,28,4.31,1761546
2013,SFN,76,629,1446,1078,469,42,4,3326796
2013,SLN,97,783,1494,1110,481,44,3.42,3369769
2013,TBA,92,700,1421,1171,589,55,3.74,1510300
2013,TEX,91,730,1465,1067,462,42,3.62,3178273
2013,TOR,74,712,1398,1123,510,38,4.25,2536562
2013,WAS,86,656,1365,1192,464,39,3.59,2652422
2014,ARI,64,615,1379,1165,398,36,4.26,2073730
2014,ATL,79,573,1316,1369,472,27,3.38,2354305
2014,BAL,96,705,1434,1285,401,36,3.43,2464473
2014,BOS,71,634,1355,1337,535,52,4.01,2956089
2014,CHA,73,660,1400,1362,417,38,4.29,1650821
2014,CHN,73,614,1315,1477,442,41,3.91,2652113
2014,CIN,76,595,1282,1252,415,37,3.59,2476664
2014,CLE,85,669,1411,1189,504,49,3.56,1437393
2014,COL,66,755,1551,1281,397,48,4.84,2680329
2014,DET,90,757,1557,1144,443,61,4.01,2917209
2014,HOU,70,629,1317,1442,495,36,4.11,1751829
2014,KCA,89,651,1456,985,380,47,3.51,1956482
2014,LAA,98,773,1464,1266,492,54,3.58,3095935
2014,LAN,94,718,1476,1246,519,43,3.4,3782337
2014,MIA,77,645,1399,1419,501,39,3.78,1732283
2014,MIL,82,650,1366,1197,423,37,3.67,2797384
2014,MIN,70,715,1412,1329,544,44,4.57,2250606
2014,NYA,84,633,1349,1133,452,47,3.75,3401624
2014,NYN,79,629,1306,1264,516,44,3.49,2148808
2014,OAK,88,729,1354,1104,586,43,3.22,2003628
2014,PHI,73,619,1356,1306,443,37,3.79,2423852
2014,PIT,88,682,1436,1244,520,35,3.47,2442564
2014,SDN,77,535,1199,1294,468,45,3.27,2195373
2014,SEA,87,634,1328,1232,396,34,3.17,2064334
2014,SFN,88,665,1407,1245,427,49,3.5,3368697
2014,SLN,90,619,1371,1133,471,39,3.5,3540649
2014,TBA,77,612,1361,1124,527,53,3.56,1446464
2014,TEX,67,637,1400,1162,417,45,4.49,2718733
2014,TOR,83,723,1435,1151,502,40,4,2375525
2014,WAS,96,686,1403,1304,517,41,3.03,2579389
2015,ARI,79,720,1494,1312,490,57,4.04,2080145
2015,ATL,67,573,1361,1107,471,31,4.41,2001392
2015,BAL,81,713,1370,1331,418,32,4.05,2281202
2015,BOS,78,748,1495,1148,478,42,4.31,2880694
2015,CHA,76,622,1381,1231,404,37,3.98,1755810
2015,CHN,97,689,1341,1518,567,35,3.36,2919122
2015,CIN,64,640,1382,1255,496,40,4.33,2419506
2015,CLE,81,669,1395,1157,533,50,3.67,1388905
2015,COL,68,737,1479,1283,388,34,5.04,2506789
2015,DET,74,689,1515,1259,455,35,4.64,2726048
2015,HOU,86,729,1363,1392,486,43,3.57,2153585
2015,KCA,95,724,1497,973,383,47,3.73,2708549
2015,LAA,85,661,1331,1150,435,40,3.94,3012765
2015,LAN,92,667,1346,1258,563,30,3.44,3764815
2015,MIA,71,613,1420,1150,375,40,4.02,1752235
2015,MIL,68,655,1378,1299,412,34,4.28,2542558
2015,MIN,83,696,1349,1264,439,41,4.07,2220054
2015,NYA,87,764,1397,1227,554,54,4.03,3193795
2015,NYN,90,683,1351,1290,488,32,3.43,2569753
2015,OAK,68,694,1405,1119,475,38,4.14,1768175
2015,PHI,63,626,1374,1274,387,29,4.69,1831080
2015,PIT,98,697,1462,1322,461,41,3.21,2498596
2015,SDN,74,650,1324,1327,426,42,4.09,2459742
2015,SEA,76,656,1379,1336,478,35,4.16,2193581
2015,SFN,84,696,1486,1159,457,37,3.72,3375882
2015,SLN,100,647,1386,1267,506,42,2.94,3520889
2015,TBA,80,644,1383,1310,436,47,3.74,1287054
2015,TEX,88,751,1419,1233,503,54,4.24,2491875
2015,TOR,93,891,1480,1151,570,62,3.8,2794891
2015,WAS,83,703,1363,1344,539,51,3.62,2619843
2016,ARI,69,752,1479,1427,463,38,5.09,2036216
2016,ATL,68,649,1404,1240,502,52,4.51,2020914
2016,BAL,89,744,1413,1324,468,36,4.22,2172344
2016,BOS,93,878,1598,1160,558,40,4,2955434
2016,CHA,78,686,1428,1285,455,44,4.1,1746293
2016,CHN,103,808,1409,1339,656,37,3.15,3232420
2016,CIN,68,716,1403,1284,452,44,4.91,1894085
2016,CLE,94,777,1435,1246,531,60,3.84,1591667
2016,COL,75,845,1544,1330,494,34,4.91,2602524
2016,DET,86,750,1476,1303,493,38,4.24,2493859
2016,HOU,84,724,1367,1452,554,31,4.06,2306623
2016,KCA,81,675,1450,1224,382,34,4.21,2557712
2016,LAA,74,717,1410,991,471,49,4.28,3016142
2016,LAN,91,725,1376,1321,525,32,3.7,3703312
2016,MIA,79,655,1460,1213,447,38,4.05,1712417
2016,MIL,73,671,1299,1543,599,39,4.08,2314614
2016,MIN,59,722,1409,1426,513,43,5.08,1963912
2016,NYA,84,680,1378,1188,475,49,4.16,3063405
2016,NYN,87,671,1342,1302,517,41,3.57,2789602
2016,OAK,69,653,1352,1145,442,34,4.51,1521506
2016,PHI,71,610,1305,1376,424,30,4.63,1915144
2016,PIT,78,729,1426,1334,561,36,4.21,2249201
2016,SDN,68,686,1275,1500,449,36,4.43,2351422
2016,SEA,86,768,1446,1288,506,41,4,2267928
2016,SFN,87,715,1437,1107,572,46,3.65,3365256
2016,SLN,86,779,1415,1318,526,41,4.08,3444490
2016,TBA,68,672,1333,1482,449,28,4.2,1286163
2016,TEX,95,765,1446,1220,436,40,4.37,2710402
2016,TOR,89,759,1358,1362,632,40,3.78,3392099
2016,WAS,95,763,1403,1252,536,63,3.51,2481938
